Editor	2471, “Editor”	3412, “Editor-in-chief”	3239, “Mediator”
Hotel Waiter	9273, “Waiter”	3412, “Writer”	1221, “Hotelier”
Coat Maker	5414, “Maker, coat”	5419, “Maker, marker”	5232, “Maker, coach”
Contractor	4131, “Controller, contract”	4131, “Controller, contracts”	2452, “Conservator”
Patient	2129, “Agent, patent”	2444, “Priest”	2129, “Analyst, patent”
Horse Dealer	6139, “Horseman”	8239, “Driver, horse”	3239, “Healer”
Drives Wagon	8211, “Driver, wagon”	8212, “Driver”	8143, “Wagonwayman”
Car Man	8111, “Man, malt”	6145, “Carer”	9139, “Man, coal”
Works For Tailor	5414, “Tailor”	5414, “Tailoress”	8117, “Worker, forge”
Silk Factory	8111, “Silksman”	3413, “Actor”	1121, “Manager, factory”
Clothier	5449, “Luthier”	5414, “Cutter, clothier's”	5413, “Clogger”
Produce Dealer	3239, “Healer”	8113, “Dewer”	8113, “Degger”
Cigar Store	9260, “Storer”	9260, “Storeman”	8134, “Sorter, stores”
Ice Dealer	8111, “Icer”	3239, “Healer”	8113, “Dewer”
Grocer Clerk	1254, “Grocer”	4159, “Clerk”	5112, “Grower”
Tailoring In Shop	5414, “Tailor”	5414, “Tailoress”	9211, “Girl, shop, tailor's”
Makes Cigars	8111, “Maker, cigar”	8111, “Maker, cigarette”	5419, “Maker, marker”
Clerk In Dry Goods Store	4133, “Clerk, in, goods”	4159, “Clerk”	4133, “Clerk, stores”
Maid	9233, “Maid”	9219, “Mailer”	6122, “Maid, nurse”
Car Conductor	8214, “Collector, car”	6145, “Carer”	6139, “Carer, cat”
Domestic Ser.	9233, “Domestic”	2231, “SEN”	8137, “Sewer, seam”
Works In Piano Factory	9139, “Worker, factory”	8129, “Worksetter”	3413, “Actor”
Livery Stable	6139, “Stableman”	1213, “Manager, livery stable”	1213, “Owner, livery stable”
Gnl Servant	9233, “Servant”	3312, “Sergeant”	3311, “Sergeant-Major”
Machine Operator	5223, “Mechanic, machine”	3311, “Marine”	7122, “Operator, machine, vending”
Police	3312, “Policeman”	5419, “Pouncer”	1172, “Inspector, police”
Store Keeper	9260, “Keeper, store”	9260, “Storer”	9260, “Keeper-clerk, store”
Merchant Tailor	1254, “Tailor, merchant”	5414, “Tailor”	5414, “Tailoress”
Carriage Painter	5323, “Painter”	5223, “Springer, carriage”	8113, “Plaiter, CORDAGE”
Cashier	4129, “Cashier”	9139, “Carrier”	8113, “Lasher”
Fancy Store	9260, “Storer”	9260, “Storeman”	8134, “Sorter, stores”
Cigar Maker In Shop	8111, “Maker, cigar”	5419, “Maker, marker”	8114, “Maker, ink”
Umbrella Maker	5419, “Maker, umbrella”	5419, “Maker, marker”	9249, “Macer”
Furniture Dealer	3239, “Healer”	8113, “Dewer”	8113, “Degger”
Commission Merchant	9249, “Commissionaire”	7125, “Merchandiser”	5223, “Mechanic”
Shoe Store	9260, “Storer”	9260, “Storeman”	8134, “Sorter, stores”
Express Man	8111, “Man, malt”	8124, “Man, compressor”	5312, “Mason”
Fancy Goods	5449, “Maker, goods, fancy”	5449, “Cutter, fancy goods mfr”	5449, “Foreman, fancy goods mfr”
Labor	9111, “Lamber”	9134, “Labeller”	3562, “Officer, labour”
Corset Maker	5419, “Maker, corset”	5419, “Maker, marker”	9249, “Macer”
Jeweller	1254, “Jeweller, retail”	5449, “Jeweller, jobbing”	5449, “Jeweller, manufacturing”
Chair Maker	5442, “Maker, chair”	5419, “Maker, marker”	9249, “Macer”
Carpet Weaver	5411, “Weaver, carpet”	5411, “Weaver”	5315, “Carpenter”
Works In Cigar Factory	9139, “Worker, factory”	8129, “Worksetter”	3413, “Actor”
Hotel Clerk	4159, “Clerk”	1221, “Hotelier”	4131, “Clerk, hospital”
Roofer	5313, “Roofer”	9134, “Roper”	8111, “Rouser”
Truck Man	8229, “Trucker”	8111, “Man, malt”	5312, “Mason”
