Block Cutter	8129, “Cutler”	5441, “Cutter, brick”	5414, “Cutter, blouse”
Cigar Mkr.	8111, “Maker, cigar”	8111, “Maker, cigarette”	8111, “Buncher, cigar mfr”
Guilder	5319, “Builder”	6219, “Guide”	8113, “Guider-in”
Lumber Merchant	9111, “Lamber”	1254, “Merchant, timber”	9112, “Lumberjack”
Rag Sorter	8134, “Sorter, rag”	8134, “Sorter, stores”	8113, “Shaker, rag”
Wholesale Butcher	5431, “Butcher”	1254, “Wholesaler”	6240, “Butler”
Gold Cutter	8125, “Cutter, gold”	8129, “Cutler”	5449, “Cutter, cotton”
Joiner	5315, “Joiner”	8125, “Coiner”	5315, “Joiner-builder”
Errand Girl	5119, “Gillie”	3413, “Girl, chorus”	3413, “Girl, show”
Cash Boy In Store	9260, “Storer”	9260, “Storeman”	4129, “Cashier”
Cigar Mfg.	8111, “Buncher, cigar mfr”	8111, “Finisher, cigar mfr”	8111, “Roller, cigar mfr”
Drives A Truck	8222, “Driver, truck”	8212, “Driver”	8229, “Trucker”
Keeps Hotel	1221, “Keeper, hotel”	1221, “Hotelier”	6240, “Keeper, house, hotel”
Works In Coal Yard	9260, “Worker, yard”	9139, “Coaler”	9260, “Yardman”
Brushmaker	5414, “Dressmaker”	6211, “Bookmaker”	
Money Broker	3532, “Broker, money”	2444, “Brother”	8118, “Browner”
Pupils			
Brass Polisher	8125, “Polisher, brass”	8114, “Polisher, brush”	1259, “Publisher”
No Bus	8213, “Busman”	9273, “Busser”	2317, “Bursar”
Envelope Maker	5419, “Maker, marker”	9249, “Macer”	5224, “Maker, meter”
Visitor	2231, “Visitor, district”	2231, “Visitor, health”	2231, “Visitor, home”
Carpet Cleaner	9234, “Cleaner, carpet”	9233, “Cleaner”	9132, “Cleaner, crane”
Miliner	5414, “Milliner”	9119, “Milker”	8232, “Mariner”
Keeping Home	8125, “Honer”	1221, “Keeper, hotel”	6240, “Keeper, house, hotel”
Wire Drawer	8117, “Drawer, wire”	1254, “Draper”	8117, “Dresser, wire”
Dress-Maker	5414, “Dressmaker”	8117, “Drossman”	8137, “Machinist, dressmaker's”
House Maid	9233, “Maid, house”	9233, “Maid”	9233, “Housemaid”
Drives Milk Wagon	8211, “Driver, wagon”	8212, “Driver”	9119, “Milker”
Washing And Ironing	1254, “Ironmonger”	9139, “Iron and steelworker”	8114, “Egger and washer”
Works In Pottery	5441, “Worker, pottery”	8129, “Worksetter”	9260, “Porter”
Ticket Agent	9134, “Ticketer”	2129, “Agent, patent”	6214, “Agent, ticket, airline”
Hotel Servant	9233, “Servant”	1221, “Hotelier”	3312, “Sergeant”
Keeps Fruit Stand	5112, “Fruitman”	9139, “Keeper, stanch”	1254, “Fruiterer”
Surveyor	2434, “Surveyor”	2434, “Surveyor-engineer”	2433, “Surveyor, quantity surveying”
Sugar House	9233, “Housemaid”	6144, “Houseparent”	1254, “Hosier”
Laundry Man	9234, “Man, laundry”	8117, “Man, foundry”	9234, “Maid, laundry”
Clerk In P.O.	4123, “Clerk, PO”	4159, “Clerk”	4131, “Clerk, pool”
Gas Works	8114, “Gasman, gas works”	9139, “Worker, gas”	3111, “Tester, gas, gas works”
Railroad Laborer	8234, “Railman”	9134, “Labeller”	8234, “Railwayman”
Clerk In Brokers Office	4159, “Clerk, office”	4159, “Clerk”	4159, “Officer, clerical”
Takes Washing	8139, “Taker-out”	8131, “Taper, WIRING”	9260, “Wharfinger”
Works At Tailor	5414, “Tailor”	5414, “Tailoress”	5313, “Tiler”
