Paper Boxes	8142, “Paver”	9134, “Boxer”	8129, “Lapper, paper”
Night Watchman	9241, “Watchman”	9241, “Watcher, night”	9260, “Hatchman”
Agent	2129, “Agent, patent”	1122, “Agent, builder's”	1122, “Agent, contractor's”
Restaurant	1223, “Restaurateur”	1223, “Manager, restaurant”	1223, “Owner, restaurant”
Bank Clerk	4123, “Clerk, bank”	4159, “Clerk”	4123, “Clerk, banking, bank”
Box Maker	5419, “Maker, marker”	8139, “Marker, box”	9249, “Macer”
Gilder	5221, “Grinder”	3441, “Golfer”	8113, “Gimper”
Brewer	8111, “Brewer”	2129, “Brewer, brewery”	8118, “Browner”
Store Clerk	4159, “Clerk”	4133, “Clerk, stores”	9260, “Storer”
Stableman	6139, “Stableman”	8134, “Scaleman”	8134, “Scalesman”
Unemployed			
Gas Fitter	5314, “Fitter, gas”	5316, “Fitter, glass”	8119, “Fritter”
Flower Maker	5419, “Maker, marker”	9249, “Macer”	5224, “Maker, meter”
Milkman	8111, “Silksman”	7123, “Milkman, ROUNDSMAN”	9119, “Milkman, farming”
Ship Carpenter	5315, “Carpenter”	5322, “Cementer, ship”	5315, “Carpenter-diver”
Furrier	5211, “Farrier”	8123, “Ferrier”	8114, “Currier”
Bricklayer	5312, “Bricklayer”	8133, “Brineller”	9120, “Assistant, bricklayer's”
Barkeeper	5119, “Beekeeper”	4122, “Bookkeeper”	8125, “Barreller”
Marble Cutter	5414, “Cutter, mantle”	8129, “Cutler”	5449, “Cutter, cotton”
Clerk Dry Goods	4159, “Clerk”	4133, “Clerk, goods-in”	4133, “Clerk, in, goods”
Washwoman	3413, “Showman”	8143, “Wagonwayman”	9211, “Postwoman”
Hair Dresser	6221, “Hairdresser”	1253, “Manager, hairdresser's”	6221, “Assistant, hairdresser's”
Domestic Serv.	9233, “Domestic”	9233, “Servant, domestic”	9233, “Servant”
Drives Truck	8222, “Driver, truck”	8212, “Driver”	8229, “Trucker”
Letter Carrier	9139, “Carrier”	8114, “Currier”	9139, “Carrier-off”
Clergyman	2444, “Clergyman”	8229, “Chargerman”	3417, “Cameraman”
Real Estate	5319, “Dealer, estate”	1251, “Manager, estate”	1251, “Officer, estate”
Long Shoreman	9260, “Storeman”	3413, “Showman”	9260, “Storesman”
Junk Dealer	3239, “Healer”	8113, “Dewer”	8113, “Degger”
Artificial Flowers	8139, “Colourer, ARTIFICIAL FLOWERS”	5449, “Maker, flower, artificial”	5322, “Floorer”
Sales Woman	8134, “Scalesman”	7113, “Adviser, sales, TELEPHONE SALES”	7113, “Executive, sales, TELEPHONE SALES”
Gardner	5113, “Gardener”	8139, “Garterer”	5434, “Garde-manger”
Real Estate Agent	3544, “Agent, estate”	2129, “Agent, patent”	5319, “Dealer, estate”
Gentleman	9241, “Gateman”	8117, “Kettleman”	
Grocery	1254, “Grocer”	5112, “Grower”	8149, “Grouter”
Police Officer	3312, “Officer, police”	2429, “Officer, policy”	3312, “Policeman”
Cook In Hotel	5435, “Cook”	1221, “Hotelier”	5435, “Cook in charge”
Ny			
Works In Carpet Factory	5411, “Worker, carpet”	9139, “Worker, factory”	5315, “Carpenter”
Coach Driver	8213, “Driver, coach”	8212, “Driver”	9119, “Drover”
Florist	5443, “Florist”	3415, “Flautist”	9112, “Forester”
Watch Maker	5224, “Maker, watch”	5419, “Maker, marker”	8129, “Maker, match”
Saleswoman	3542, “Salesman-mechanic”		
Upholster	5412, “Upholsterer”	5419, “Cutter, upholstery”	8133, “Inspector, upholstery”
Millinery	5414, “Milliner”	5414, “Improver, millinery”	8137, “Machinist, millinery”
Saloon			
Bookbinder	5423, “Bookbinder”	8113, “Bobbiner”	6211, “Bookmaker”
Works In Silk Factory	9139, “Worker, factory”	9139, “Worker, silk”	9260, “Worker, silo”
Cloak Maker	5224, “Maker, clock”	5419, “Maker, marker”	9249, “Macer”
Keeping H			
Coal Dealer	9139, “Coaler”	8212, “Leader, coal”	9260, “Heaver, coal”
Chamber Maid	9233, “Maid, chamber”	9233, “Maid”	9233, “Chambermaid”
Washing &amp; Ironing	1254, “Ironmonger”	9139, “Iron and steelworker”	8114, “Egger and washer”
Carver	6145, “Carer”	9139, “Carrier”	9134, “Corker”
Candy Store	9260, “Storer”	9260, “Storeman”	8134, “Sorter, stores”
